Date,Open,High,Low,Close,Adj Close,Volume
22/02/16,143.199997,144.100006,141.839996,142.550003,129.127075,8648975
23/02/16,142.5,143.449997,136.240005,137.270004,124.344254,21500155
24/02/16,136.770004,140.75,134.410004,138.130005,125.123283,20841410
25/02/16,138.960007,139.009995,133.320007,134.100006,121.472763,22305795
26/02/16,136.460007,138.399994,133.779999,137.309998,124.380501,20627085
29/02/16,137.589996,140.800003,132.669998,137.800003,124.824364,24929325
01/03/16,139.360001,144.360001,138.190002,143.880005,130.331848,20408715
02/03/16,146.199997,152.350006,146.100006,151.050003,136.826706,26665300
03/03/16,151.800003,152,148.220001,151.529999,137.261505,20116495
04/03/16,151.199997,153.899994,149.050003,151.809998,137.515137,19092795
08/03/16,153.800003,153.910004,150.320007,151.910004,137.605728,21291635
09/03/16,151,158.679993,150.259995,158.119995,143.230957,30298510
10/03/16,158.800003,160.190002,156.899994,158.279999,143.375916,18269590
11/03/16,157.399994,160.960007,157.119995,160.119995,145.042633,20752680
14/03/16,161,162,159.399994,160.399994,145.296265,12531405
15/03/16,160.199997,163.399994,159.410004,162.190002,146.917725,18064305
16/03/16,161.399994,163.100006,159.100006,160.880005,145.731079,16745200
17/03/16,162.220001,163.759995,158.600006,159.910004,144.852417,15460550
18/03/16,160.199997,163.5,159.149994,162.850006,147.515579,13220715
21/03/16,163.600006,166.899994,162.550003,166.369995,150.704132,17150930
22/03/16,166.199997,167.550003,164.529999,166.440002,150.767532,13091505
23/03/16,166,170.369995,165.289993,169.850006,153.856445,20967780
28/03/16,168.630005,171.979996,167.100006,168.449997,152.588257,17251110
29/03/16,168.199997,170.880005,167.199997,169.270004,153.331055,9845555
30/03/16,170.699997,174,169.710007,173.259995,156.945343,13545105
31/03/16,172.5,175,171.710007,173.009995,156.718872,31232455
01/04/16,172.600006,173.100006,170.479996,171.119995,155.006836,14136725
04/04/16,171.179993,173.979996,171,173.589996,157.244263,16196910
05/04/16,172,173.020004,165.300003,165.839996,150.22403,22500685
06/04/16,167,168.429993,165.649994,166.809998,151.102692,16484090
07/04/16,167.789993,168.800003,166.199997,167.100006,151.365402,9215225
08/04/16,167.399994,170.699997,166.639999,169.880005,153.883621,11833340
11/04/16,170.600006,172.490005,169.570007,171.929993,155.740585,9609845
12/04/16,171.960007,173.660004,170.639999,171.860001,155.67717,8861115
13/04/16,173.419998,175,173.149994,174.029999,157.642838,8343925
18/04/16,172.399994,179.399994,172.220001,178.710007,161.882141,19491185
20/04/16,178.940002,178.940002,175.399994,176.380005,159.771561,15352350
21/04/16,177.679993,179.649994,175.320007,176.270004,159.671921,14804655
